"Countries","Adult_Literacy","Internet_Users","GDP_Per_Capita","Immunization_DPT_Children","Prevalence_HIV","Population_Growth_Annual","Infant_Mortality_Rate","School_Enrollment","High_Tech_EXP","Unemployment_Female","Urban_Population_Total"
"High income",NA,"77.9290411155751","41598.0785770645","95.5731062612017",NA,"0.627685011514117","4.9","102.39523","16.7960463041304","7.55014865963122","18.9949694475042"
"Hong Kong SAR, China",NA,"79.8662704309064","40315.2855640552",NA,NA,"0.702370950536049",NA,NA,"9.85112798187429","2.9760000705719","0"
"Honduras","87.19753","19.08","2242.70745940423","97","0.4","1.73395300173024","17.3","95.12915","2.41895953076314","6.98099994659424","45.486"
"Heavily indebted poor countries (HIPC)","59.41668","10.3648915367153","952.295923322624","77.693077387857","2.77142205742331","2.82220669459421","54.4522993692192","100.88275","4.59064375157263","6.46421233966231","65.8568501116942"
"Croatia",NA,"68.57","13606.8934415442","95",NA,"-0.407343184777633","4.2","98.97955","8.42515689013872","18.2639999389648","44.077"
"Haiti",NA,"11.4","830.113881624145","48","1.9","1.33965419079303","57",NA,NA,"15.8889999389648","48.556"
"Hungary","99.0999999999999","75.6531974544103","14201.4488320148","99","0.1","-0.269378767165116","4.5","101.82841","13.7085085957535","7.91400003433228","29.773"
"IBRD only","87.88014","38.7820493157566","5954.49423470652","88.5043076317694",NA,"0.988646534521237","22.981161936833","105.08484","17.7510239101335","5.36258596672915","47.4113881606508"
"IDA & IBRD total","83.03593","32.6363327794645","4835.20486521006","83.1726944912771","1.12237694619382","1.30680432531291","34.9392283823288","103.12762","17.1642992963557","5.52646110102984","51.7163830626662"
"IDA total","66.38857","13.6944318579499","1413.44192530072","74.0456414227508","2.04730814768858","2.29397544623733","54.1215764473158","99.5032","3.49277197498685","6.09724173716178","64.9193353822073"
"IDA blend","71.57446","17.8059874712738","2127.25626610617","63.7600172619931","2.17232504191096","2.36287789463891","61.8293246844611","95.62258","2.81983799663275","5.73427819178413","59.3823570246562"
"Indonesia","95.11622","17.14","3491.59588685069","78","0.4","1.22204863107965","23.7","104.73789","6.97229924914904","3.88100004196167","47.365"
"IDA only","63.28254","11.6577304836653","1050.07692039805","79.2376922696934","1.97940564363338","2.25995941974016","50.1971058649108","101.26447",NA,"6.23569094829578","67.6605614731697"
"Isle of Man",NA,NA,"89941.6442851908",NA,NA,"0.701083653860315",NA,NA,NA,NA,"47.838"
"India",NA,"21","1576.00401817614","85","0.2","1.18932821143382","37.2","107.86236","8.58625988056907","4.10699987411499","67.616"
"Not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
